"",customerid,churn_probability
2011,7100-FQPRV,0.075054
2012,2984-RGEYA,0.003870
2013,9680-NIAUV,0.047377
2014,2146-EGVDT,0.004326
2015,2604-IJPDU,0.355284
2016,9178-JHUVJ,0.009767
2017,6168-YBYNP,0.443674
2018,7255-SSFBC,0.016694
2019,3645-DEYGF,0.167481
2020,9323-HGFWY,0.169228
2021,8544-GOQSH,0.548013
2022,3363-DTIVD,0.011776
2023,7018-WBJNK,0.462986
2024,9142-KZXOP,0.287308
2025,7674-YTAFD,0.193125
2026,6348-SNFUS,0.010047
2027,1347-KTTTA,0.173174
2028,4195-NZGTA,0.586434
2029,7157-SMCFK,0.002920
2030,4709-LKHYG,0.034287
2031,2504-DSHIH,0.483976
2032,0699-NDKJM,0.135546
2033,9286-BHDQG,0.005312
2034,0230-WEQUW,0.013237
2035,2040-LDIWQ,0.046969
2036,6496-JDSSB,0.672371
2037,4443-EMBNA,0.004165
2038,6469-MRVET,0.127691
2039,5961-VUSRV,0.065205
2040,6778-JFCMK,0.120295
2041,6341-JVQGF,0.104233
2042,4811-JBUVU,0.457622
2043,0945-TSONX,0.026671
2044,2651-ZCBXV,0.161408
2045,3316-UWXUY,0.120426
2046,7083-MIOPC,0.003288
2047,1984-GPTEH,0.070807
2048,0621-JFHOL,0.127446
2049,9903-LYSAB,0.590112
2050,9227-UAQFT,0.019020
2051,7301-ABVAD,0.035079
2052,6614-FHDBO,0.046027
2053,7576-ASEJU,0.077301
2054,9058-HRZSV,0.265715
2055,4522-AKYLR,0.365798
2056,0221-WMXNQ,0.429228
2057,0303-UNCIP,0.108368
2058,0959-WHOKV,0.174579
2059,4075-JFPGR,0.136979
2060,3282-ZISZV,0.110439
2061,3675-YDUPJ,0.176493
2062,4111-BNXIF,0.049977
2063,7017-VFHAY,0.008112
2064,6655-LHBYW,0.226798
2065,5046-NUHWD,0.324119
2066,7529-ZDFXI,0.477347
2067,7605-BDWDC,0.038548
2068,1950-KSVVJ,0.254562
2069,0123-CRBRT,0.015054
2070,6292-TOSSS,0.006096
2071,3197-ARFOY,0.273028
2072,7014-ZZXAW,0.004559
2073,7633-MVPUY,0.013069
2074,4716-HHKQH,0.471576
2075,3179-GBRWV,0.228720
2076,8645-KWHJO,0.467053
2077,4130-MZLCC,0.450844
2078,0314-TKOSI,0.210631
2079,8229-MYEJZ,0.293172
2080,2080-SRCDE,0.173669
2081,9577-WJVCQ,0.110869
2082,6202-DYYFX,0.262959
2083,3808-HFKDE,0.309496
2084,3727-OWVYD,0.058935
2085,2294-SALNE,0.198984
2086,4847-TAJYI,0.747455
2087,1563-IWQEX,0.138243
2088,8203-XJZRC,0.240074
2089,6556-DBKZF,0.006032
2090,6851-WEFYX,0.608112
2091,2985-JUUBZ,0.154851
2092,0895-LMRSF,0.177629
2093,8266-VBFQL,0.684886
2094,8181-YHCMF,0.034536
2095,2240-HSJQD,0.314410
2096,1248-DYXUB,0.003522
2097,4115-BNPJY,0.062373
2098,3167-SNQPL,0.277589
2099,4091-TVOCN,0.075501
2100,1098-TDVUQ,0.292741
2101,7277-OZCGZ,0.257903
2102,1557-EMYVT,0.159624
2103,2799-ARNLO,0.737880
2104,5027-YOCXN,0.233406
2105,3973-SKMLN,0.003686
2106,6745-JEFZB,0.458941
2107,9880-TDQAC,0.044564
2108,8705-WZCYL,0.571357
2109,7102-JJVTX,0.088766
2110,8626-PTQGE,0.011915
2111,4983-CLMLV,0.419905
2112,5701-YVSVF,0.705606
2113,5697-GOMBF,0.181603
2114,2739-CACDQ,0.552097
2115,9385-EHGDO,0.005749
2116,9498-FIMXL,0.074283
2117,2379-GYFLQ,0.200781
2118,2088-IEBAU,0.018915
2119,7982-VCELR,0.415082
2120,6035-BXTTY,0.103537
2121,6885-PKOAM,0.009778
2122,7520-HQWJU,0.066466
2123,9639-BUJXT,0.014403
2124,5924-SNGKP,0.021895
2125,0021-IKXGC,0.744755
2126,8966-SNIZF,0.003765
2127,6243-OZGFH,0.394496
2128,4654-DLAMQ,0.101617
2129,0513-RBGPE,0.033542
2130,5160-UXJED,0.085632
2131,4115-NZRKS,0.742382
2132,3351-NGXYI,0.302416
2133,8984-EYLLL,0.203604
2134,9833-TGFHX,0.164183
2135,9294-TDIPC,0.099468
2136,5229-DTFYB,0.175886
2137,0104-PPXDV,0.082070
2138,5176-LMJXE,0.007734
2139,3583-KRKMD,0.432180
2140,9069-LGEUL,0.208151
2141,7302-ZHMHP,0.242321
2142,9571-EDEBV,0.086585
2143,3520-FJGCV,0.009400
2144,6563-VRERX,0.025887
2145,6122-EFVKN,0.036904
2146,2805-EDJPQ,0.190155
2147,6862-CQUMB,0.407536
2148,7156-MXBJE,0.100304
2149,6158-HDPXZ,0.549236
2150,2863-IMQDR,0.014428
2151,5686-CMAWK,0.245875
2152,5651-CRHKQ,0.192473
2153,8204-YJCLA,0.017663
2154,6583-SZVGP,0.221340
2155,1708-PBBOA,0.086532
2156,8782-LKFPK,0.466822
2157,5522-JBWMO,0.213088
2158,3597-MVHJT,0.554422
2159,9774-NRNAU,0.251466
2160,0224-RLWWD,0.596114
2161,9967-ATRFS,0.072958
2162,3951-NJCVI,0.580850
2163,2977-CEBSX,0.013753
2164,0177-PXBAT,0.390381
2165,2519-ERQOJ,0.249129
2166,5876-QMYLD,0.035445
2167,2277-AXSDC,0.024181
2168,9442-JTWDL,0.041632
2169,3067-SVMTC,0.044818
2170,5495-GPSRW,0.024121
2171,7606-BPHHN,0.003660
2172,4742-DRORA,0.129788
2173,0111-KLBQG,0.120854
2174,4163-NCJAK,0.026691
2175,5233-AOZUF,0.546585
2176,5973-EJGDP,0.393802
2177,1996-DBMUS,0.393566
2178,7916-VCCPB,0.083100
2179,4686-GEFRM,0.045567
2180,5249-QYHEX,0.005635
2181,2233-FAGXV,0.132971
2182,5605-IYGFG,0.658662
2183,7663-ZTEGJ,0.188805
2184,3935-TBRZZ,0.021839
2185,8111-BKVDS,0.213443
2186,2055-SIFSS,0.183572
2187,2806-MLNTI,0.354811
2188,8734-DKSTZ,0.408265
2189,4360-PNRQB,0.536950
2190,6152-ONASV,0.046195
2191,7781-HVGMK,0.012735
2192,2181-UAESM,0.360138
2193,6048-NJXHX,0.014554
2194,2320-SLKMB,0.180812
2195,4980-URKXC,0.024312
2196,4376-KFVRS,0.056204
2197,5886-VLQVU,0.496622
2198,3577-AMVUX,0.340503
2199,0771-WLCLA,0.594840
2200,5628-RKIFK,0.368632
2201,0206-TBWLC,0.273189
2202,2937-FTHUR,0.142102
2203,1910-FMXJM,0.423060
2204,0732-OCQOC,0.009371
2205,5168-MSWXT,0.584777
2206,1090-ESELR,0.110097
2207,8592-PLTMQ,0.041850
2208,5760-WRAHC,0.225311
2209,8847-GEOOQ,0.115987
2210,4785-FCIFB,0.005010
2211,8313-NDOIA,0.584334
2212,5149-CUZUJ,0.207105
2213,0942-KOWSM,0.061739
2214,4237-CLSMM,0.257103
2215,1452-VOQCH,0.722594
2216,4719-UMSIY,0.098253
2217,6614-VBEGU,0.326560
2218,1480-BKXGA,0.075235
2219,2996-XAUVF,0.033301
2220,9076-AXYIK,0.173456
2221,5968-XQIVE,0.081365
2222,8896-RAZCR,0.006323
2223,4933-IKULF,0.043366
2224,1304-BCCFO,0.407023
2225,4104-PVRPS,0.159952
2226,3780-DDGSE,0.144609
2227,4431-EDMIQ,0.167110
2228,0486-LGCCH,0.009578
2229,4612-SSVHJ,0.546499
2230,5168-MQQCA,0.109221
2231,7971-HLVXI,0.010108
2232,9094-AZPHK,0.604139
2233,3649-JPUGY,0.039960
2235,3552-CTCYF,0.024108
2236,6778-YSNIH,0.563680
2237,5756-OZRIO,0.096361
2238,6579-JPICP,0.240067
2239,4134-BSXLX,0.148524
2240,0505-SPOOW,0.003802
2241,4374-YMUSQ,0.244934
2242,4513-CXYIX,0.026371
2243,3957-HHLMR,0.051290
2244,7803-XOCCZ,0.147029
2245,5736-YEJAX,0.009066
2246,8981-FJGLA,0.375106
2247,1135-LMECX,0.242291
2248,4332-MUOEZ,0.151079
2249,8535-SFUTN,0.407199
2250,8677-HDZEE,0.417769
2251,2475-MROZF,0.170102
2252,3482-ABPKK,0.061356
2253,6705-LXORM,0.689613
2254,7531-GQHME,0.081421
2255,5174-ITUMV,0.041178
2256,4109-CYRBD,0.337908
2257,0913-XWSCN,0.209046
2258,0750-EBAIU,0.098549
2259,8606-CIQUL,0.012746
2260,3571-DPYUH,0.017268
2261,7601-GNDYK,0.004457
2262,0356-OBMAC,0.168864
2263,8067-NIOYM,0.007376
2264,1403-GYAFU,0.002808
2265,4234-XTNEA,0.717735
2266,1297-VQDRP,0.030324
2267,5348-CAGXB,0.702950
2268,0621-HJWXJ,0.373292
2269,5844-QVTAT,0.083789
2270,8905-IAZPF,0.175269
2271,5394-MEITZ,0.047654
2272,6859-QNXIQ,0.012516
2273,2782-LFZVW,0.374533
2274,2866-IKBTM,0.242304
2275,7129-AZJDE,0.050842
2276,2560-PPCHE,0.253959
2277,4676-MQUEA,0.172038
2278,8138-EALND,0.081779
2279,3580-HYCSP,0.014941
2280,1352-HNSAW,0.012377
2281,2075-PUEPR,0.003252
2282,1982-FEBTD,0.008702
2283,5791-KAJFD,0.074489
2284,2654-VBVPB,0.246365
2285,1154-HYWWO,0.055621
2286,2501-XWWTZ,0.603706
2287,3716-UVSPD,0.428180
2288,6815-ABQFQ,0.317385
2289,7343-EOBEU,0.321234
2290,3701-SFMUH,0.148390
2291,6103-LIANB,0.022214
2292,7319-VENRZ,0.329444
2293,5846-NEQVZ,0.018995
2294,6967-QIQRV,0.049638
2295,5781-RFZRP,0.006887
2296,0308-IVGOK,0.139477
2297,7293-LSCDV,0.003226
2298,7025-WCBNE,0.037999
2299,5756-JYOJT,0.191123
2300,6030-REHUX,0.601876
2301,9548-LIGTA,0.015102
2302,5150-LJNSR,0.033198
2303,8270-RKSAP,0.670544
2304,6522-YRBXD,0.438983
2305,2640-LYMOV,0.279095
2306,1423-BMPBQ,0.197045
2307,2393-DIVAI,0.276337
2308,4568-KNYWR,0.012645
2309,8752-IMQOS,0.069211
2310,0742-LAFQK,0.054414
2311,0795-LAFGP,0.015140
2312,0619-OLYUR,0.056305
2313,5512-IDZEI,0.023602
2314,0459-SPZHJ,0.014417
2315,0215-BQKGS,0.290257
2316,9244-ZVAPM,0.478162
2317,8208-EUMTE,0.041231
2318,5172-MIGPM,0.365633
2319,1710-RCXUS,0.208535
2320,0374-FIUCA,0.004680
2321,5839-SUYVZ,0.411655
2322,5173-ZXXXL,0.065238
2323,1096-ADRUX,0.016078
2324,2001-MCUUW,0.188263
2325,2731-GJRDG,0.315566
2326,4723-BEGSG,0.019595
2327,6516-NKQBO,0.030137
2328,8672-OAUPW,0.078939
2329,8207-DMRVL,0.007729
2330,2804-ETQDK,0.002850
2331,6689-VRRTK,0.300228
2332,7138-GIRSH,0.040058
2333,9396-ZSFLL,0.269890
2334,6464-KEXXH,0.382403
2335,7134-MJPDY,0.192286
2336,5240-CAOYT,0.111138
2337,4059-IIEBK,0.663781
2338,4881-JVQOD,0.256753
2339,0516-UXRMT,0.107598
2340,4851-BQDNX,0.050885
2341,5148-HKFIR,0.016400
2342,3003-CMDUU,0.517153
2343,5016-IBERQ,0.418818
2344,6797-UCJHZ,0.257345
2345,2469-DTSGX,0.063677
2346,9931-KGHOA,0.100040
2347,1775-KWJKQ,0.009922
2348,7665-VIGUD,0.047374
2349,9411-TPQQV,0.089520
2350,7954-MLBUN,0.174471
2351,2077-DDHJK,0.006850
2352,9574-BOSMD,0.003000
2353,4908-XAXAY,0.214887
2354,8404-VLQFB,0.074060
2355,2391-IPLOP,0.122724
2356,3509-GWQGF,0.381095
2357,5845-BZZIB,0.004436
2358,1140-UKVZG,0.088509
2359,5183-SNMJQ,0.622616
2360,8100-PNJMH,0.015641
2361,7838-LAZFO,0.070480
2362,2085-JVGAD,0.051159
2363,8095-WANWK,0.276255
2364,3030-ZKIWL,0.240082
2365,9565-FLVCG,0.015786
2366,8755-OGKNA,0.003194
2367,2800-VEQXM,0.672641
2368,5533-RJFTJ,0.199728
2369,0214-JHPFW,0.035329
2370,5642-MHDQT,0.020170
2371,3088-FVYWK,0.003348
2372,9092-GDZKO,0.087284
2373,3729-OWRVL,0.191170
2374,2324-AALNO,0.018782
2375,5760-IFJOZ,0.659227
2376,2826-UWHIS,0.302811
2377,7501-IWUNG,0.046952
2378,4957-TREIR,0.283403
2379,7251-LJBQN,0.325047
2380,8040-MNRTF,0.621126
2381,1536-HBSWP,0.431506
2382,5313-FPXWG,0.020935
2383,0946-FKYTX,0.086292
2384,5076-YVXCM,0.286432
2385,8262-COGGB,0.284713
2386,6663-JOCQO,0.098569
2387,9620-QJREV,0.016531
2388,2682-KEVRP,0.049852
2389,2480-JZOSN,0.315369
2390,0078-XZMHT,0.044883
2391,9978-HYCIN,0.036440
2392,8338-QIUNR,0.018212
2393,1525-LNLOJ,0.043403
2394,9450-TRJUU,0.358173
2395,1766-GKNMI,0.550156
2396,6942-LBFDP,0.281581
2397,1456-TWCGB,0.448139
2398,7596-ZYWBB,0.006903
2399,8329-UTMVM,0.374706
2400,3014-WJKSM,0.427766
2401,3347-YJZZE,0.125057
2402,7929-DMBCV,0.460336
2403,9661-JALZV,0.005757
2404,5433-KYGHE,0.176657
2405,4312-KFRXN,0.003905
2406,5575-TPIZQ,0.364489
2407,0114-IGABW,0.035062
2408,9944-AEXBM,0.505363
2409,1853-ARAAQ,0.329201
2410,6952-OMNWB,0.373346
2411,4697-LUPSU,0.265950
2412,8434-VGEQQ,0.004181
2413,6549-YMFAW,0.226997
2414,4950-HKQTE,0.018077
2415,6786-OBWQR,0.569208
2416,2753-JMMCV,0.035760
2417,6621-YOBKI,0.160803
2418,1216-JWVUX,0.110965
2419,7564-GHCVB,0.015977
2420,1173-NOEYG,0.422541
2421,7595-EHCDL,0.122233
2422,6647-ZEDXT,0.277868
2423,2521-NPUZR,0.014548
2424,1307-TVUFB,0.445045
2425,7503-MIOGA,0.022114
2426,4381-MHQDC,0.025833
2427,6923-JHPMP,0.475123
2428,4018-PPNDW,0.006682
2429,1635-FJFCC,0.494727
2430,2499-AJYUA,0.076508
2431,6919-ELBGL,0.071753
2432,3966-HRMZA,0.640728
2433,6425-JWTDV,0.006237
2434,8405-IGQFX,0.148902
2435,8224-IVVPA,0.181407
2436,9477-LGWQI,0.013609
2437,1410-RSCMR,0.153415
2439,0139-IVFJG,0.516457
2440,5730-DBDSI,0.003706
2441,0030-FNXPP,0.233451
2442,5684-FJVYR,0.021666
2443,4013-GUXND,0.240050
2444,1266-NZYUI,0.016948
2445,7969-FFOWG,0.004068
2446,4718-DHSMV,0.402682
2447,5175-WLYXL,0.491828
2448,7817-OMJNA,0.042363
2449,8728-SKJLR,0.360237
2450,3137-NYQQI,0.075603
2451,7706-DZNKK,0.159654
2452,8823-RLPWL,0.064158
2453,9505-SQFSW,0.202150
2454,3758-CKOQL,0.238410
2455,5676-CFLYY,0.034703
2456,7521-AFHAB,0.201531
2457,0285-INHLN,0.121219
2458,5125-CNDSP,0.048811
2459,4992-LTJNE,0.016981
2460,2202-OUTMO,0.140654
2461,0810-BDHAW,0.124533
2462,0229-LFJAF,0.005745
2463,7131-ZQZNK,0.022538
2464,3442-ZHHCC,0.052990
2465,5726-CVNYA,0.053796
2466,9871-ELEYA,0.024275
2467,4257-GAESD,0.379816
2468,5173-WXOQV,0.428334
2469,2040-OBMLJ,0.170833
2470,6286-ZHAOK,0.057305
2471,3807-XHCJH,0.187066
2472,5671-RQRLP,0.037288
2473,8859-AXJZP,0.014881
2474,3174-AKMAS,0.043590
2475,9926-PJHDQ,0.048747
2476,7382-DFJTU,0.263142
2477,2798-NYLMZ,0.127320
2478,8098-TDCBU,0.011756
2479,3551-GAEGL,0.051100
2480,4785-NKHCX,0.181835
2481,3196-NVXLZ,0.519908
2482,0036-IHMOT,0.028921
2483,4178-EGMON,0.015948
2484,4220-TINQT,0.488791
2485,5318-YKDPV,0.036862
2486,7975-TZMLR,0.270217
2487,0295-QVKPB,0.366422
2488,4335-BSMJS,0.005101
2489,9146-JRIOX,0.052222
2490,5337-IIWKZ,0.133142
2491,9650-VBUOG,0.004289
2492,3487-EARAT,0.045877
2493,2672-TGEFF,0.368060
2494,4250-WAROZ,0.224154
2495,8184-WMOFI,0.048705
2496,6092-QZVPP,0.166184
2497,4625-LAMOB,0.005673
2498,0392-BZIUW,0.137392
2499,6549-NNDYT,0.259362
2500,0422-OHQHQ,0.047772
2501,6916-HIJSE,0.013149
2502,2316-ESMLS,0.084212
2503,9778-OGKQZ,0.015211
2504,7408-OFWXJ,0.009992
2505,6007-TCTST,0.013440
2506,2252-NKNSI,0.020746
2507,8713-IGZSO,0.250954
2508,7905-TVXTA,0.288229
2509,7695-PKLCZ,0.003444
2510,8374-UULRV,0.007759
2511,3224-DFQNQ,0.078030
2512,5275-PMFUT,0.012268
2513,4795-UXVCJ,0.024920
2514,9777-IQHWP,0.007939
2515,0979-MOZQI,0.039083
2516,2732-ISEZX,0.203252
2517,0323-XWWTN,0.018846
2518,1937-OTUKY,0.031305
2519,1573-LGXBA,0.026556
2520,1764-VUUMT,0.002800
2521,4713-ZBURT,0.021090
2522,3050-GBUSH,0.589209
2523,7876-AEHIG,0.061612
2524,7945-HLKEA,0.050643
2525,9342-VNIMQ,0.233885
2526,3523-BRGUW,0.028228
2527,3199-NPKCN,0.280501
2528,5170-PTRKA,0.059879
2529,4661-NJEUX,0.284734
2530,2123-AGEEN,0.727608
2531,1258-YMZNM,0.364575
2532,0048-LUMLS,0.028941
2533,5898-IGSLP,0.171122
2534,6259-WJQLC,0.481506
2535,7997-EASSD,0.150836
2536,0730-KOAVE,0.335542
2537,8975-SKGRX,0.065804
2538,0678-RLHVP,0.197644
2539,2267-FPIMA,0.309432
2540,1051-GEJLJ,0.237532
2541,5285-MVEHD,0.260981
2542,0379-DJQHR,0.010285
2543,5543-QDCRY,0.566683
2544,0297-RBCSG,0.287705
2545,4694-PHWFW,0.096735
2546,0835-JKADZ,0.080287
2547,7508-SMHXL,0.404365
2548,3865-YIOTT,0.025583
2549,5993-BQHEA,0.039529
2550,6024-RUGGH,0.003144
2551,3956-CJUST,0.375250
2552,4079-WWQQQ,0.012270
2553,6103-BOCOU,0.541655
2554,5149-TGWDZ,0.342758
2555,7471-WNSUF,0.016613
2556,8942-DBMHZ,0.090171
2557,4301-VVZKA,0.599121
2558,9199-PWQVC,0.063407
2559,4824-GUCBY,0.342531
2560,5393-HJZSM,0.074103
2561,0862-PRCBS,0.012528
2562,8812-ZRHFP,0.050530
2563,5146-CBVOE,0.405809
2564,0454-OKRCT,0.142147
2565,5787-KXGIY,0.003395
2566,4198-VFOEA,0.112667
2567,6630-UJZMY,0.769144
2569,2692-AQCPF,0.265437
2570,0347-UBKUZ,0.083206
2571,0835-DUUIQ,0.030883
2572,0811-GSDTP,0.149484
2573,7567-ECMCM,0.445331
2574,6115-ZTBFQ,0.010824
2575,6353-BRMMA,0.298181
2576,6231-WFGFH,0.125316
2577,9904-EHEVJ,0.392392
2578,6169-PPETC,0.004596
2579,8584-KMVXD,0.603787
2580,8467-WYNSR,0.152129
2581,0851-DFJKB,0.192383
2582,5382-SOYZL,0.596196
2583,3261-CQXOL,0.002963
2584,8388-FYNPZ,0.259510
2585,4002-BQWPQ,0.131747
2586,5651-YLPRD,0.106936
2587,2826-DXLQO,0.293949
2588,4378-BZYFP,0.051271
2589,9489-UTFKA,0.239038
2590,4849-PYRLQ,0.023605
2591,7764-BDPEE,0.164597
2592,3429-IFLEM,0.005688
2593,5002-GCQFH,0.397348
2594,0556-FJEGU,0.032581
2595,0604-THJFP,0.041771
2596,5879-SESNB,0.634220
2597,6461-PPAXN,0.073932
2598,3318-ISQFQ,0.096837
2599,1106-HRLKZ,0.004017
2600,2483-XSSMZ,0.074632
2601,8165-ZJRNM,0.002925
2602,2604-XVDAM,0.272595
2603,3717-OFRTN,0.244107
2604,9046-JBFWA,0.035995
2605,3280-NMUVX,0.023036
2606,1206-EHBDD,0.071545
2607,8361-LBRDI,0.004486
2608,4883-KCPZJ,0.006671
2609,9108-EQPNQ,0.010205
2610,7277-KAMWT,0.019059
2611,2545-LXYVJ,0.003665
2612,3234-VKACU,0.398045
2613,8120-JDCAM,0.407887
2614,8917-FAEMR,0.008164
2615,7047-YXDMZ,0.067852
2616,2858-EIMXH,0.253530
2617,6419-ZTTLE,0.069385
2618,0929-HYQEW,0.376674
2619,6614-YOLAC,0.008982
2620,7426-RHZGU,0.656174
2621,4065-JJAVA,0.498123
2622,7649-SIJJF,0.012557
2623,9361-YNQWJ,0.043652
2624,3748-FVMZZ,0.504669
2625,9391-TTOYH,0.085152
2626,1452-XRSJV,0.107903
2627,3422-WJOYD,0.038822
2628,8242-SOQUO,0.717894
2629,7460-ITWWP,0.481661
2630,7147-AYBAA,0.370666
2631,7868-TMWMZ,0.183266
2632,6732-FZUGP,0.099502
2633,8329-GWVPJ,0.045192
2634,1352-VHKAJ,0.128081
2635,2632-TACXW,0.004979
2636,8146-QQKZH,0.020194
2637,1767-CJKBA,0.004061
2638,6445-TNRXS,0.013613
2639,4581-LNWUM,0.398750
2640,4869-EPIUS,0.215579
2641,1915-OAKWD,0.056469
2642,7296-PIXQY,0.352069
2643,3354-OADJP,0.064394
2644,3524-WQDSG,0.370859
2645,0810-DHDBD,0.051503
2646,4026-SKKHW,0.383365
2647,2829-HYVZP,0.033019
2648,3845-JHAMY,0.183957
2649,7013-PSXHK,0.134300
2650,3486-NPGST,0.021190
2651,6100-FJZDG,0.044506
2652,4829-ZLJTK,0.102265
2653,1730-VFMWO,0.105607
2654,7143-BQIBA,0.152931
2655,3800-LYTRK,0.051786
2656,9646-NMHXE,0.006620
2657,7030-NJVDP,0.364075
2658,8883-GRDWQ,0.048796
2659,7771-ZONAT,0.270465
2660,2111-DWYHN,0.240038
2661,4194-WHFCB,0.301496
2662,4121-AGSIN,0.018730
2663,9845-PEEKO,0.143143
2664,0455-XFASS,0.447529
2665,0301-KOBTQ,0.014327
2666,1751-NCDLI,0.574854
2668,9170-ARBTB,0.016420
2669,7241-AJHFS,0.144253
2670,4546-FOKWR,0.609836
2671,9036-CSKBW,0.251041
2672,5832-TRLPB,0.146608
2673,8590-YFFQO,0.005299
2674,8659-IOOPU,0.007618
2675,1338-CECEE,0.114656
2676,7439-DKZTW,0.811658
2677,4646-QZXTF,0.213702
2678,9742-XOKTS,0.007415
2679,6921-OZMFH,0.224305
2680,9578-FOMUK,0.062985
2681,4712-UYOOI,0.047094
2682,7722-CVFXN,0.042535
2683,8717-VCTXJ,0.022682
2684,7363-QTBIW,0.725372
2685,4159-NAAIX,0.146750
2686,0971-QIFJK,0.004261
2687,9397-TZSHA,0.003634
2688,3391-JSQEW,0.213677
2689,0343-QLUZP,0.008497
2690,2176-LVPNX,0.011058
